"area_fips","area_title"
"M3605","Jacksonville, NC MSA"
"M3610","Jamestown, NY MSA"
"M3620","Janesville-Beloit, Wi MSA"
"M3640","Jersey City, NJ PMSA"
"M3660","Johnson City-Kingsport-Bristol, Tn-Va MSA"
"M3680","Johnstown, Pa MSA"
"M3690","Joliet, Il MSA"
"M3700","Jonesboro, Ar MSA"
"M3710","Joplin, Mo MSA"
"M3720","Kalamazoo-Battle Creek, Mi MSA"
"M3740","Kankakee, Il PMSA"
"M3760","Kansas City, Mo-Ks MSA"
"M3800","Kenosha, Wi PMSA"
"M3810","Killeen-Temple, Tx MSA"
"M3840","Knoxville, Tn MSA"
"M3850","Kokomo, In MSA"
"M3870","La Crosse, Wi-Mn MSA"
"M3880","Lafayette, La MSA"
"M3920","Lafayette, In MSA"
"M3960","Lake Charles, La MSA"
"M3965","Lake County, Il PMSA"
"M3980","Lakeland-Winter Haven, Fl MSA"
"M4000","Lancaster, Pa MSA"
"M4040","Lansing-East Lansing, Mi MSA"
"M4080","Laredo, Tx MSA"
"M4100","Las Cruces, NM MSA"
"M4120","Las Vegas, Nv-Az MSA"
"M4150","Lawrence, Ks MSA"
"M4200","Lawton, Ok MSA"
"M4243","Lewiston-Auburn, Me NECMA"
"M4280","Lexington, Ky MSA"
"M4320","Lima, Oh MSA"
"M4360","Lincoln, Ne MSA"
"M4400","Little Rock-North Little Rock, Ar MSA"
"M4420","Longview-Marshall, Tx MSA"
"M4440","Lorain-Elyria, Oh PMSA"
"M4480","Los Angeles-Long Beach, Ca PMSA"
"M4520","Louisville, Ky-In MSA"
"M4600","Lubbock, Tx MSA"
"M4640","Lynchburg, Va MSA"
"M4680","Macon, Ga MSA"
"M4720","Madison, Wi MSA"
"M4763","Manchester-Nashua, NH NECMA"
"M4800","Mansfield, Oh MSA"
"M4840","Mayaguez, PR MSA"
"M4880","McAllen-Edinburg-Mission, Tx MSA"
"M4890","Medford-Ashland, Or MSA"
"M4900","Melbourne-Titusville-Palm Bay, Fl MSA"
"M4920","Memphis, Tn-Ar-Ms MSA"
"M4940","Merced, Ca MSA"
"M5000","Miami, Fl PMSA"
"M5015","Middlesex-Somerset-Hunterdon, NJ MSA"
"M5040","Midland, Tx MSA"
"M5080","Milwaukee-Waukesha, Wi PMSA"
"M5120","Minneapolis-St. Paul, Mn-Wi MSA"
"M5140","Missoula, Mt MSA"
"M5160","Mobile, Al MSA"
"M5170","Modesto, Ca MSA"
"M5190","Monmouth-Ocean, NJ MSA"
"M5200","Monroe, La MSA"
"M5240","Montgomery, Al MSA"
"M5280","Muncie, In MSA"
"M5320","Muskegon, Mi MSA"
"M5330","Myrtle Beach, Sc MSA"
"M5345","Naples, Fl MSA"
"M5360","Nashville, Tn MSA"
"M5380","Nassau-Suffolk, NY MSA"
"M5403","New Bedford-Fall River-Attleboro, Ma NECMA"
"M5483","New Haven-Bridgeport-Stamford-Danbury-Waterbury, CT NECMA"
"M5523","New London-Norwich, Ct NECMA"
"M5530","Myrtle Beach, SC MSA"
"M5560","New Orleans, La MSA"
"M5600","New York-Newark, NY-NJ-Pa PMSA"
"M5640","Newark, NJ MSA"
"M5660","Newburgh, Ny-Pa MSA"
"M5700","Niagara Falls, NY MSA"
"M5720","Norfolk-Virginia Beach-Newport News, Va-NC MSA"
"M5775","Oakland, Ca PMSA"
"M5790","Ocala, Fl MSA"
"M5800","Odessa-Midland, Tx MSA"
"M5880","Oklahoma City, Ok MSA"
"M5910","Olympia, Wa PMSA"
"M5920","Omaha, Ne-Ia MSA"
"M5945","Orange County, Ca PMSA"
"M5950","Orange County, NY PMSA"
"M5960","Orlando, Fl MSA"
"M5990","Owensboro, Ky MSA"
"M6000","Oxnard-Ventura, Ca PMSA"
"M6015","Panama City, Fl MSA"
"M6020","Parkersburg-Marietta, WV-Oh MSA"
"M6025","Pascagoula, Ms MSA"
"M6080","Pensacola, Fl MSA"
"M6120","Peoria-Pekin, Il MSA"
"M6160","Philadelphia, Pa-NJ PMSA"
"M6200","Phoenix-Mesa, Az MSA"
"M6240","Pine Bluff, Ar MSA"
"M6280","Pittsburgh, Pa MSA"
"M6323","Pittsfield, Ma NECMA"
"M6340","Pocatello, Id MSA"
"M6360","Ponce, PR MSA"
"M6403","Portland, Me NECMA"
"M6440","Portland-Vancouver, Or-Wa PMSA"
"M6453","Portsmouth-Dover-Rochester, NH NECMA"
"M6460","Poughkeepsie, NY PMSA"
"M6483","Providence-Warwick, RI NECMA"
"M6520","Provo-Orem, Ut MSA"
"M6560","Pueblo, Co MSA"
"M6580","Punta Gorda, Fl MSA"
"M6600","Racine, Wi PMSA"
"M6640","Raleigh-Durham-Chapel Hill, NC MSA"
"M6660","Rapid City, SD MSA"
"M6680","Reading, Pa MSA"
"M6690","Redding, Ca MSA"
"M6720","Reno, Nv MSA"
"M6740","Richland-Kennewick-Pasco, Wa MSA"
"M6760","Richmond-Petersburg, Va MSA"
"M6780","Riverside-San Bernardino, Ca PMSA"
"M6800","Roanoke, Va MSA"
"M6820","Rochester, Mn MSA"
"M6840","Rochester, NY MSA"
"M6880","Rockford, Il MSA"
"M6895","Rocky Mount, NC MSA"
"M6920","Sacramento, Ca PMSA"
"M6960","Saginaw-Bay City-Midland, Mi MSA"
"M6980","St. Cloud, Mn MSA"
"M7000","St. Joseph, Mo MSA"
"M7040","St. Louis, Mo-Il MSA"
"M7080","Salem, Or PMSA"
"M7120","Salinas, Ca MSA"
"M7160","Salt Lake City-Ogden, Ut MSA"
"M7200","San Angelo, Tx MSA"
"M7240","San Antonio, Tx MSA"
"M7320","San Diego, Ca MSA"
"M7360","San Francisco, Ca PMSA"
"M7400","San Jose, Ca PMSA"
"M7440","San Juan-Bayamon, PR PMSA"
"M7460","San Luis Obispo-Atascadero-Paso Robles, Ca MSA"
"M7480","Santa Barbara-Santa Maria-Lompoc, Ca MSA"
"M7485","Santa Cruz-Watsonville, Ca PMSA"
"M7490","Santa Fe, NM MSA"
"M7500","Santa Rosa, Ca PMSA"
"M7510","Sarasota-Bradenton, Fl MSA"
"M7520","Savannah, Ga MSA"
"M7560","Scranton--Wilkes-Barre--Hazleton, Pa MSA"
"M7600","Seattle-Bellevue-Everett, Wa PMSA"
"M7610","Sharon, Pa MSA"
"M7620","Sheboygan, Wi MSA"
"M7640","Sherman-Denison, Tx MSA"
"M7680","Shreveport-Bossier City, La MSA"
"M7720","Sioux City, Ia-Ne MSA"
"M7760","Sioux Falls, SD MSA"
"M7800","South Bend, In MSA"
"M7840","Spokane, Wa MSA"
"M7880","Springfield, Il MSA"
"M7920","Springfield, Mo MSA"
"M8003","Springfield, Ma NECMA"
"M8050","State College, Pa MSA"
"M8080","Steubenville-Weirton, Oh-WV MSA"
"M8120","Stockton-Lodi, Ca MSA"
"M8140","Sumter, SC MSA"
"M8160","Syracuse, NY MSA"
"M8200","Tacoma, Wa PMSA"
"M8240","Tallahassee, Fl MSA"
"M8280","Tampa-St. Petersburg-Clearwater, Fl MSA"
"M8320","Terre Haute, In MSA"
"M8360","Texarkana, Tx-Texarkana, Ar MSA"
"M8400","Toledo, Oh MSA"
"M8440","Topeka, Ks MSA"
"M8480","Trenton, NJ PMSA"
"M8520","Tucson, Az MSA"
"M8560","Tulsa, Ok MSA"
"M8600","Tuscaloosa, Al MSA"
"M8640","Tyler, Tx MSA"
"M8680","Utica-Rome, NY MSA"
"M8720","Vallejo-Fairfield-Napa, Ca PMSA"
"M8725","Vancouver, Wa PMSA"
"M8735","Ventura, Ca PMSA"
"M8750","Victoria, Tx MSA"
"M8760","Vineland-Millville-Bridgeton, NJ PMSA"
"M8780","Visalia-Tulare-Porterville, Ca MSA"
"M8800","Waco, Tx MSA"
"M8840","Washington, DC-Md-Va-WV PMSA"
"M8920","Waterloo-Cedar Falls, Ia MSA"
"M8940","Wausau, Wi MSA"
"M8960","West Palm Beach-Boca Raton, Fl MSA"
"M9000","Wheeling, WV-Oh MSA"
"M9040","Wichita, Ks MSA"
"M9080","Wichita Falls, Tx MSA"
"M9140","Williamsport, Pa MSA"
"M9160","Wilmington-Newark, De-Md PMSA"
"M9200","Wilmington, NC MSA"
"M9243","Worcester-Fitchburg-Leominster, Ma NECMA"
"M9260","Yakima, Wa MSA"
"M9270","Yolo, Ca PMSA"
"M9280","York, Pa MSA"
"M9320","Youngstown-Warren, Oh MSA"
"M9340","Yuba City, Ca MSA"
"M9360","Yuma, Az MSA"
"CMS07","Boston-Brockton-Nashua, Ma-NH CMSA-NECMA"
"CMS10","Buffalo-Niagara Falls, NY CMSA"
"CMS14","Chicago-Gary-Kenosha, Il-In-Wi CMSA"
"CMS21","Cincinnati-Hamilton, Oh-Ky-In CMSA"
"CMS28","Cleveland-Akron, Oh CMSA"
"CMS31","Dallas-Fort Worth, Tx CMSA"
"CMS34","Denver-Boulder-Greeley, Co CMSA"
"CMS35","Detroit-Ann Arbor-Flint, Mi CMSA"
"CMS42","Houston-Galveston-Brazoria, Tx CMSA"
"CMS49","Los Angeles-Riverside-Orange County, Ca CMSA"
"CMS56","Miami-Fort Lauderdale, Fl CMSA"
"CMS63","Milwaukee-Racine, Wi CMSA"
"CMS70","New York-Northern New Jersey-Long Island, NY-NJ-Ct CMSA"
"CMS77","Philadelphia-Wilmington-Atlantic City, Pa-NJ-De-Md CMSA"
"CMS78","Pittsburgh-Beaver Valley, Pa CMSA"
"CMS79","Portland-Salem, Or-Wa CMSA"
"CMS82","Sacramento-Yolo, Ca CMSA"
"CMS84","San Francisco-Oakland-San Jose, Ca CMSA"
"CMS87","San Juan-Caguas-Arecibo, PR CMSA"
"CMS91","Seattle-Tacoma-Bremerton, Wa CMSA"
"CMS97","Washington-Baltimore, DC-Md-Va-WV CMSA"
