metro,order_ids,test_range,composition_type,scenario_type,excluded_eps_codename,scenario_label,group,n,denom,pct,baseline_pct,delta_pp,full_pool_n,removed_n,removed_pct,remaining_pool_n
chicago,392834_488035,SAT score 1160 - 1300,race,exclusion,"IL10, Evanston & Skokie","Excluding IL10, Evanston & Skokie","Two+, non-Hispanic",480,13105,3.662724151087371,3.6620951269331776,6.290241541933028e-4,14202,678,4.773975496408957,13524
chicago,392834_488035,SAT score 1160 - 1300,race,exclusion,"IL10, Evanston & Skokie","Excluding IL10, Evanston & Skokie","White, non-Hispanic",7908,13105,60.34338038916444,60.43186460461044,-0.08848421544600171,14202,678,4.773975496408957,13524
chicago,392834_488035,SAT score 1160 - 1300,race,exclusion,"IL11, City of Chicago","Excluding IL11, City of Chicago","Asian, non-Hispanic",1085,10542,10.292164674634794,10.074409104172746,0.21775557046204774,14202,3220,22.672862977045487,10982
chicago,392834_488035,SAT score 1160 - 1300,race,exclusion,"IL11, City of Chicago","Excluding IL11, City of Chicago","Black, non-Hispanic",474,10542,4.496300512236767,7.046979865771812,-2.5506793535350445,14202,3220,22.672862977045487,10982
chicago,392834_488035,SAT score 1160 - 1300,race,exclusion,"IL11, City of Chicago","Excluding IL11, City of Chicago",Hispanic,1427,10542,13.536330867008159,18.784651298511818,-5.248320431503659,14202,3220,22.672862977045487,10982
chicago,392834_488035,SAT score 1160 - 1300,race,exclusion,"IL11, City of Chicago","Excluding IL11, City of Chicago","Two+, non-Hispanic",381,10542,3.614114968696642,3.6620951269331776,-0.047980158236535786,14202,3220,22.672862977045487,10982
chicago,392834_488035,SAT score 1160 - 1300,race,exclusion,"IL11, City of Chicago","Excluding IL11, City of Chicago","White, non-Hispanic",7175,10542,68.06108897742364,60.43186460461044,7.629224372813198,14202,3220,22.672862977045487,10982
chicago,392834_488035,SAT score 1160 - 1300,race,exclusion,"IL12, Western Suburbs","Excluding IL12, Western Suburbs","Asian, non-Hispanic",960,9731,9.865378686671463,10.074409104172746,-0.2090304175012836,14202,4111,28.94662723560062,10091
chicago,392834_488035,SAT score 1160 - 1300,race,exclusion,"IL12, Western Suburbs","Excluding IL12, Western Suburbs","Black, non-Hispanic",820,9731,8.42667762819854,7.046979865771812,1.3796977624267281,14202,4111,28.94662723560062,10091
chicago,392834_488035,SAT score 1160 - 1300,race,exclusion,"IL12, Western Suburbs","Excluding IL12, Western Suburbs",Hispanic,2018,9731,20.73784811427397,18.784651298511818,1.9531968157621513,14202,4111,28.94662723560062,10091
chicago,392834_488035,SAT score 1160 - 1300,race,exclusion,"IL12, Western Suburbs","Excluding IL12, Western Suburbs","Two+, non-Hispanic",353,9731,3.6275819545781527,3.6620951269331776,-0.034513172355024935,14202,4111,28.94662723560062,10091
