eps_code,eps_name
IN03,South Bend & Elkhart
IN04,Northeast Indiana
IN05,West Central Indiana
IN06,East Central Indiana
IN07,Greater Indianapolis
IN08,West Indiana
IN09,South Central Indiana
IN10,East Indiana
IN11,Southwest Indiana
IN12,Southeast Indiana
KS01,Kansas City & Topeka
KS02,Wichita & Western Kansas
KY01,Lexington & Fayette
KY02,Louisville & Western Kentucky
LA01,Baton Rouge
LA02,New Orleans
LA03,Shreveport
MA01,Berkshire & Franklin Co
MA02,Springfield & Hampshire Co
MA03,Fitchburg & North Worcester Co
MA04,Essex Co
MA05,Cape Cod & Islands
MA06,Boston & Cambridge
MA07,Quincy & Plymouth Co
MA08,"Lowell, Concord, & Wellesley"
MA09,Norfolk & Bristol Co
MA10,"Milton, Lexington, & Waltham"
MA11,Worcester
MD01,Western Maryland
MD02,Montgomery Metropolitan
MD03,Central Maryland (w/o Baltimore)
MD04,Eastern Shore
MD05,Prince Georges Metropolitan
MD06,Southern Maryland
MD07,Baltimore (Urban)
ME01,Portland & Southern Maine
ME02,Augusta & Central Maine
ME03,Bangor & Northern Maine
MI01,Wayne Co
MI02,Detroit's Northern Suburbs
MI03,Ann Arbor
MI04,Capital District
MI05,Kalamazoo and Grand Rapids
MI06,"""The Thumb"""
MI07,Northern Michigan
MN01,Twin Cities
MN02,Northern Minnesota
MO01,Kansas City & St. Joseph
MO02,St. Louis & Eastern Missouri
MO03,Springfield & Southern Missouri
MS01,Jackson
MS02,Northern Mississippi
MT01,Billings & Eastern Montana
MT02,Western Montana
NC01,Coastal Plains
NC02,East Central North Carolina
NC03,Research Triangle
NC04,Sand Hills
NC05,North Piedmont
NC06,South Piedmont
NC07,Western North Carolina
ND01,Fargo & Eastern North Dakota
ND02,Western North Dakota
NE01,Lincoln
NE02,Omaha
NE03,Western Nebraska
NH01,Seacoast
NH02,Merrimack Valley
NH03,Monadnock & Lake Sunapee
NH04,Lakes & White Mountains
NJ01,Southern Jersey
NJ02,Camden & Burlington Co
NJ03,Jersey Shore & Pinelands
NJ04,Middlesex Co
NJ05,Monmouth Co
NJ06,Somerset & Mercer Co
NJ07,Union Co
NJ08,Essex & Southern Passaic Co
NJ09,Hudson Co
NJ10,Bergen Co
NJ11,Morris & Northern Passaic Co
NJ12,"Sussex, Warren, & Hunterdon Co"
NM01,Albuquerque & Northern New Mexico
NM02,Southern New Mexico
NV01,Las Vegas
NV02,Reno
NY01,Southern Tier West
NY02,Erie Co
NY03,Genesee Valley & N. Frontier
NY04,Rochester & Monroe Co
NY05,Finger Lakes Region
NY06,Central New York
NY07,Saint Lawrence Valley
NY08,Adirondacks
NY09,Tri Cities
NY10,Central Hudson Valley
NY11,Catskills
NY12,Southern Tier East
NY13,Rockland Co
NY14,Staten Island
NY15,Westchester Co
NY16,Southern Nassau Co
NY17,Northern Nassau Co
NY18,Central Nassau Co
NY19,Northwest Suffolk Co
NY20,Southwest Suffolk Co
NY21,East Suffolk Co
NY22,Southeast Brooklyn
NY23,West Brooklyn
NY24,Northeast Brooklyn
NY25,East Bronx
NY26,West Bronx
NY27,Manhattan
NY28,South Queens
NY29,Northwest Queens
NY30,Northeast Queens
OH01,Northwest Ohio
OH02,North Central Ohio
OH03,City of Cleveland (West)
OH04,City of Cleveland (East)
OH05,"Cuyahoga, Geauga, & Lake Co"
OH06,Northeast Ohio
OH07,West Central Ohio
OH08,Central Ohio
OH09,Greater Cincinnati
OH10,Southeast Ohio
OK01,Oklahoma City & Western Oklahoma
OK02,Tulsa & Eastern Oklahoma
OR01,Greater Portland (West)
OR02,Greater Portland (East)
OR03,Northern Valley (Coast)
OR04,Southern Valley
OR05,Southwest Oregon
OR06,East Oregon
PA01,Bucks Co
PA02,Chester Co
PA03,Delaware Co
PA04,Montgomery Co
PA05,Philadelphia Co
PA06,Lehigh Valley
PA07,Northeastern Pennsylvania
PA08,North Central Pennsylvania
PA09,Northwestern Pennsylvania
PA10,Southern Pennsylvania (East)
PA11,Southern Pennsylvania (West)
PA12,Allegheny Co
